text,finetuned_file,pretrained_file,finetuned_duration,pretrained_duration,duration_difference,cosine_similarity,spectral_distance,energy_ratio,pesq_score,mfcc_similarity,finetuned_spectral_centroid,pretrained_spectral_centroid,spectral_centroid_diff,finetuned_zcr,pretrained_zcr,zcr_difference,finetuned_tempo,pretrained_tempo,tempo_difference,finetuned_voice_activity,pretrained_voice_activity,voice_activity_diff
The quick brown fox jumps over the lazy dog.,test_1.wav,test_1.wav,2.72,3.58,0.8599999999999999,-0.0020786386,0.75810593,0.9179793,1.0688890218734741,0.9752628,1520.9910027834628,2103.1401332150353,582.1491304315725,0.11975949309593023,0.19171142578125,0.07195193268531977,144.23076923076923,133.92857142857142,10.30219780219781,0.813953488372093,0.6517857142857143,0.16216777408637872
"Hello, this is a test of the Spark TTS model.",test_2.wav,test_2.wav,3.4,3.5,0.10000000000000009,0.010816817,0.57335114,0.86850834,1.1956011056900024,0.9973037,1708.988157704188,1745.7529033125852,36.76474560839711,0.14364139164719625,0.12558149857954545,0.018059893067650795,104.16666666666667,75.0,29.16666666666667,0.719626168224299,0.7272727272727273,0.007646559048428259
The weather today is quite pleasant and sunny.,test_3.wav,test_3.wav,3.08,3.64,0.56,-0.015869025,0.83721733,0.996295,1.053191900253296,0.98633105,2344.110514215661,1813.7267439115983,530.3837703040629,0.20912028833762886,0.13859477796052633,0.07052551037710253,110.29411764705883,156.25,45.955882352941174,0.7422680412371134,0.6578947368421053,0.08437330439500812
Artificial intelligence is transforming,test_4.wav,test_4.wav,2.76,2.62,0.13999999999999968,0.004855058,0.75928473,0.9697076,1.1270384788513184,0.99485266,1865.0660527514704,2109.489520769613,244.42346801814278,0.16384361530172414,0.21183665205792682,0.04799303675620267,78.125,81.52173913043478,3.3967391304347814,0.8390804597701149,0.8902439024390244,0.05116344266890949
voices are becoming indistinguishable,test_5.wav,test_5.wav,2.54,2.5,0.040000000000000036,-0.042307895,0.841427,0.7071419,1.0398229360580444,0.9834535,2135.856316933431,1625.7023902658846,510.15392666754656,0.195751953125,0.14076097705696203,0.05499097606803796,125.0,156.25,31.25,0.875,0.8860759493670886,0.011075949367088556
he was a notorious criminal,test_6.wav,test_6.wav,2.24,2.4,0.1599999999999997,0.017981427,0.57627976,0.3852468,1.0252918004989624,0.98668706,2032.3027075921948,1252.6992559788935,779.6034516133013,0.17041015625,0.06201814350328947,0.10839201274671054,110.29411764705883,125.0,14.705882352941174,0.8028169014084507,0.7368421052631579,0.06597479614529289
"on the contrary, now this is permanent",test_7.wav,test_7.wav,2.66,2.58,0.08000000000000007,0.054343205,0.81252825,0.81328183,1.055751919746399,0.9895223,1822.54263519196,1648.378112526668,174.164522665292,0.13823009672619047,0.12701340663580246,0.011216690090388004,187.5,104.16666666666667,83.33333333333333,0.8571428571428571,0.8148148148148148,0.042328042328042326
hi there how is it going,test_8.wav,test_8.wav,2.42,2.86,0.43999999999999995,0.0037392098,0.6981533,0.80202234,1.0909937620162964,0.9994418,1625.7170241223412,1823.4752889274234,197.75826480508226,0.1163587068256579,0.14337565104166666,0.027016944216008767,144.23076923076923,170.45454545454547,26.22377622377624,0.6578947368421053,0.6111111111111112,0.04678362573099415
